조회년도,조회월,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,1,광양,출항환적,외국선,1296417,0.0,1665.0,78.0,216.0,6028.0,773.0,272.0,20618.0,0.0,0.0,0.0,0.0,52.0,2146.0,549455.0,22919.0,0.0,683.0,16666.0,17067.0,227.0,0.0,11515.0,4550.0,167.0,10654.0,9519.0,37526.0,11875.0,524387.0,0.0,47359.0
2017,1,광양,출항환적,수출입계,1300421,0.0,1665.0,78.0,216.0,6046.0,773.0,272.0,20636.0,0.0,0.0,0.0,0.0,52.0,2146.0,549455.0,22919.0,0.0,683.0,16666.0,17171.0,227.0,0.0,11515.0,6440.0,167.0,10654.0,9519.0,37526.0,11875.0,524387.0,0.0,49333.0
2017,1,광양,출항환적,연안선,80954,0.0,70.0,0.0,0.0,231.0,278.0,0.0,2827.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,1938.0,22.0,26.0,593.0,10099.0,2266.0,0.0,874.0,55647.0,4127.0,373.0,71.0,0.0,1416.0
2017,1,광양,출항환적,총계,1381375,0.0,1735.0,78.0,216.0,6277.0,1051.0,272.0,23463.0,0.0,0.0,0.0,0.0,52.0,2242.0,549455.0,22919.0,0.0,683.0,18604.0,17193.0,253.0,593.0,21614.0,8706.0,167.0,11528.0,65166.0,41653.0,12248.0,524458.0,0.0,50749.0
2017,1,울산,입항,국적선,275120,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,36944.0,0.0,22203.0,0.0,53256.0,15925.0,301.0,90486.0,1088.0,0.0,0.0,99.0,6638.0,0.0,31641.0,0.0,9800.0,6019.0,128.0,0.0,371.0
2017,1,울산,입항,외국선,9573499,0.0,0.0,84491.0,0.0,37126.0,23999.0,0.0,90212.0,0.0,49900.0,0.0,166639.0,0.0,352148.0,6613888.0,878867.0,530924.0,43790.0,479411.0,3437.0,0.0,0.0,120394.0,16127.0,195.0,48375.0,16372.0,4627.0,8657.0,2089.0,0.0,1831.0
2017,1,울산,입항,수출입계,9848619,0.0,0.0,84491.0,0.0,37126.0,24220.0,0.0,90212.0,0.0,49900.0,0.0,203583.0,0.0,374351.0,6613888.0,932123.0,546849.0,44091.0,569897.0,4525.0,0.0,0.0,120493.0,22765.0,195.0,80016.0,16372.0,14427.0,14676.0,2217.0,0.0,2202.0
2017,1,울산,입항,연안선,641583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186127.0,61697.0,0.0,0.0,0.0,11344.0,0.0,145813.0,17925.0,0.0,90290.0,0.0,0.0,0.0,662.0,533.0,1800.0,91949.0,0.0,0.0,0.0,33443.0,0.0,0.0
2017,1,울산,입항,총계,10490202,0.0,0.0,84491.0,0.0,37126.0,24220.0,0.0,90212.0,186127.0,111597.0,0.0,203583.0,0.0,385695.0,6613888.0,1077936.0,564774.0,44091.0,660187.0,4525.0,0.0,0.0,121155.0,23298.0,1995.0,171965.0,16372.0,14427.0,14676.0,35660.0,0.0,2202.0
2017,1,울산,출항,국적선,701586,0.0,0.0,0.0,171.0,0.0,0.0,20.0,320.0,0.0,0.0,0.0,0.0,0.0,1252.0,0.0,354106.0,9929.0,1575.0,217861.0,10324.0,0.0,0.0,3263.0,33482.0,0.0,0.0,2233.0,392.0,0.0,43500.0,0.0,23158.0
2017,1,울산,출항,외국선,4549570,0.0,0.0,0.0,710.0,0.0,0.0,194.0,3653.0,0.0,731.0,0.0,0.0,0.0,35984.0,0.0,2542015.0,115709.0,40422.0,951066.0,41339.0,0.0,0.0,5906.0,130068.0,0.0,68820.0,21062.0,37477.0,3468.0,470196.0,0.0,80750.0
